,Month,DayofMonth,DayOfWeek,Reporting_Airline,Flight_Number_Reporting_Airline,DepTime,DepDelay,ArrTime,ArrDelay
101,2,18,2,AA,171,559.0,-1.0,924.0,-5.0
102,2,19,3,AA,171,555.0,-5.0,924.0,-5.0
103,2,20,4,AA,171,554.0,-6.0,911.0,-18.0
104,2,21,5,AA,171,554.0,-6.0,906.0,-23.0
105,2,22,6,AA,171,725.0,85.0,1111.0,102.0
106,2,23,7,AA,171,555.0,-5.0,846.0,-43.0
107,2,24,1,AA,171,558.0,-2.0,921.0,-8.0
108,2,25,2,AA,171,558.0,-2.0,915.0,-14.0
109,2,26,3,AA,171,552.0,-8.0,907.0,-22.0
110,2,27,4,AA,171,550.0,-10.0,843.0,-46.0
111,2,28,5,AA,171,556.0,-4.0,931.0,2.0
112,2,1,6,AA,255,754.0,-6.0,1107.0,-22.0
113,2,2,7,AA,255,755.0,-5.0,1155.0,26.0
114,2,3,1,AA,255,756.0,-4.0,1137.0,8.0
115,2,4,2,AA,255,804.0,4.0,1116.0,-13.0
116,2,5,3,AA,255,754.0,-6.0,1137.0,8.0
117,2,6,4,AA,255,940.0,100.0,1409.0,160.0
118,2,7,5,AA,255,752.0,-8.0,1148.0,19.0
119,2,8,6,AA,255,754.0,-6.0,1145.0,16.0
121,2,10,1,AA,255,756.0,-4.0,1148.0,19.0
122,2,11,2,AA,255,759.0,-1.0,1204.0,35.0
123,2,12,3,AA,255,815.0,15.0,1229.0,60.0
124,2,13,4,AA,255,826.0,-4.0,1229.0,17.0
125,2,14,5,AA,255,828.0,-2.0,1205.0,-7.0
126,2,15,6,AA,255,828.0,-1.0,1204.0,-12.0
128,2,17,1,AA,255,826.0,-4.0,1222.0,10.0
129,2,18,2,AA,255,823.0,-7.0,1205.0,-7.0
130,2,19,3,AA,255,829.0,-1.0,1153.0,-19.0
131,2,20,4,AA,255,825.0,-5.0,1201.0,-11.0
132,2,21,5,AA,255,822.0,-8.0,1126.0,-46.0
133,2,22,6,AA,255,822.0,-7.0,1135.0,-41.0
134,2,23,7,AA,255,836.0,6.0,1130.0,-42.0
135,2,24,1,AA,255,822.0,-8.0,1135.0,-37.0
136,2,25,2,AA,255,827.0,-3.0,1134.0,-38.0
137,2,26,3,AA,255,828.0,-2.0,1146.0,-26.0
138,2,27,4,AA,255,828.0,-2.0,1105.0,-67.0
139,2,28,5,AA,255,826.0,-4.0,1133.0,-39.0
140,2,1,6,AA,300,2052.0,-8.0,2353.0,-40.0
141,2,2,7,AA,300,2057.0,-3.0,29.0,-4.0
142,2,3,1,AA,300,2054.0,-6.0,2358.0,-35.0
143,2,4,2,AA,300,2052.0,-8.0,24.0,-9.0
144,2,5,3,AA,300,2055.0,-5.0,35.0,2.0
146,2,9,7,AA,300,2101.0,1.0,57.0,24.0
147,2,11,2,AA,300,2100.0,1.0,105.0,27.0
148,2,12,3,AA,300,2115.0,15.0,40.0,7.0
149,2,13,4,AA,300,2055.0,-5.0,101.0,23.0
150,2,14,5,AA,300,2056.0,-4.0,20.0,-18.0
151,2,15,6,AA,300,2138.0,38.0,149.0,71.0
152,2,16,7,AA,300,2316.0,136.0,311.0,153.0
153,2,17,1,AA,300,2109.0,9.0,109.0,31.0
154,2,18,2,AA,300,2055.0,-5.0,38.0,0.0
155,2,19,3,AA,300,2051.0,-9.0,34.0,-4.0
156,2,20,4,AA,300,2202.0,62.0,142.0,64.0
157,2,21,5,AA,300,2051.0,-9.0,2338.0,-60.0
158,2,22,6,AA,300,2219.0,79.0,106.0,28.0
159,2,23,7,AA,300,2057.0,-3.0,2334.0,-64.0
160,2,24,1,AA,300,2056.0,-4.0,4.0,-34.0
161,2,25,2,AA,300,2101.0,1.0,34.0,-4.0
162,2,26,3,AA,300,2057.0,-3.0,2355.0,-43.0
163,2,27,4,AA,300,2111.0,11.0,2336.0,-62.0
164,2,28,5,AA,300,2053.0,-7.0,2351.0,-47.0
165,2,1,6,AA,302,1724.0,-6.0,2036.0,-24.0
166,2,2,7,AA,302,1808.0,9.0,2134.0,2.0
167,2,3,1,AA,302,1726.0,-3.0,2042.0,-14.0
168,2,4,2,AA,302,1722.0,-7.0,2032.0,-24.0
169,2,5,3,AA,302,1722.0,-7.0,2051.0,-5.0
170,2,6,4,AA,302,1751.0,-9.0,2201.0,28.0
171,2,7,5,AA,302,1759.0,-1.0,2135.0,2.0
172,2,8,6,AA,302,1727.0,-2.0,2046.0,-10.0
173,2,9,7,AA,302,1722.0,-7.0,2122.0,26.0
174,2,10,1,AA,302,1726.0,-4.0,2053.0,-7.0
175,2,11,2,AA,302,1723.0,-6.0,2053.0,-3.0
176,2,12,3,AA,302,1727.0,-2.0,2054.0,-2.0
177,2,13,4,AA,302,830.0,900.0,1217.0,914.0
178,2,14,5,AA,302,720.0,830.0,1100.0,837.0
179,2,15,6,AA,302,1758.0,29.0,2309.0,133.0
180,2,16,7,AA,302,1819.0,49.0,2151.0,48.0
181,2,17,1,AA,302,1817.0,47.0,2215.0,72.0
182,2,18,2,AA,302,1727.0,-3.0,2042.0,-21.0
183,2,19,3,AA,302,1726.0,-4.0,2037.0,-26.0
184,2,20,4,AA,302,1728.0,-2.0,2038.0,-25.0
185,2,21,5,AA,302,1725.0,-5.0,2016.0,-47.0
186,2,22,6,AA,302,1723.0,-6.0,1956.0,-60.0
187,2,23,7,AA,302,1724.0,-6.0,2029.0,-34.0
188,2,24,1,AA,302,1724.0,-6.0,2036.0,-27.0
189,2,25,2,AA,302,1732.0,2.0,2037.0,-26.0
190,2,26,3,AA,302,1726.0,-4.0,2022.0,-41.0
191,2,27,4,AA,302,1727.0,-3.0,1958.0,-65.0
192,2,28,5,AA,302,1727.0,-3.0,2040.0,-23.0
193,2,1,6,AA,306,1623.0,-6.0,1930.0,-27.0
194,2,2,7,AA,306,1655.0,-5.0,2019.0,-12.0
195,2,3,1,AA,306,1629.0,-1.0,1935.0,-22.0
196,2,4,2,AA,306,1624.0,-6.0,2012.0,15.0
197,2,5,3,AA,306,1621.0,-9.0,2003.0,6.0
198,2,6,4,AA,306,1653.0,-7.0,2107.0,36.0
199,2,7,5,AA,306,1653.0,-7.0,2018.0,-13.0
200,2,8,6,AA,306,1622.0,-7.0,1954.0,-3.0
201,2,9,7,AA,306,1629.0,-1.0,2040.0,43.0
202,2,10,1,AA,306,1625.0,-5.0,2017.0,20.0
203,2,11,2,AA,306,1626.0,-4.0,1946.0,-11.0
204,2,12,3,AA,306,1624.0,-6.0,1956.0,-1.0
205,2,13,4,AA,306,1623.0,-7.0,2000.0,2.0
206,2,14,5,AA,306,1630.0,0.0,1946.0,-12.0
207,2,15,6,AA,306,1629.0,0.0,2016.0,20.0
209,2,17,1,AA,306,1628.0,-2.0,2019.0,21.0
210,2,18,2,AA,306,1624.0,-6.0,1943.0,-15.0
211,2,19,3,AA,306,1625.0,-5.0,1938.0,-20.0
212,2,20,4,AA,306,1624.0,-6.0,1921.0,-37.0
213,2,21,5,AA,306,1621.0,-9.0,1902.0,-56.0
214,2,22,6,AA,306,1621.0,-8.0,1859.0,-57.0
215,2,23,7,AA,306,1704.0,34.0,1950.0,-8.0
216,2,24,1,AA,306,1625.0,-5.0,1921.0,-37.0
217,2,25,2,AA,306,1624.0,-6.0,1936.0,-22.0
218,2,26,3,AA,306,1624.0,-6.0,1927.0,-31.0
219,2,27,4,AA,306,1624.0,-6.0,1906.0,-52.0
220,2,28,5,AA,306,1623.0,-7.0,1928.0,-30.0
221,2,1,6,AA,341,1532.0,-2.0,1852.0,-11.0
222,2,2,7,AA,341,1525.0,-9.0,1832.0,-31.0
223,2,3,1,AA,341,1528.0,-6.0,1836.0,-27.0
224,2,4,2,AA,341,1536.0,2.0,1911.0,8.0
225,2,5,3,AA,341,1525.0,-9.0,1849.0,-14.0
226,2,6,4,AA,341,1533.0,-1.0,1920.0,17.0
227,2,7,5,AA,341,2207.0,393.0,201.0,418.0
228,2,8,6,AA,341,1542.0,-3.0,1929.0,15.0
229,2,9,7,AA,341,1534.0,0.0,1921.0,18.0
230,2,10,1,AA,341,1528.0,-6.0,1856.0,-7.0
231,2,11,2,AA,341,1550.0,16.0,1922.0,19.0
232,2,12,3,AA,341,1530.0,-4.0,1920.0,17.0
233,2,13,4,AA,341,1526.0,-4.0,1919.0,19.0
234,2,14,5,AA,341,1534.0,4.0,1907.0,7.0
235,2,15,6,AA,341,833.0,1023.0,1216.0,1036.0
236,2,16,7,AA,341,1523.0,-7.0,1858.0,-2.0
237,2,17,1,AA,341,1529.0,-1.0,1932.0,32.0
238,2,18,2,AA,341,1531.0,1.0,1857.0,-3.0
239,2,19,3,AA,341,1526.0,-4.0,1901.0,1.0
240,2,20,4,AA,341,1524.0,-6.0,1839.0,-21.0
241,2,21,5,AA,341,1524.0,-6.0,1821.0,-39.0
242,2,22,6,AA,341,1537.0,7.0,1831.0,-29.0
243,2,23,7,AA,341,1527.0,-3.0,1807.0,-53.0
244,2,24,1,AA,341,1523.0,-7.0,1822.0,-38.0
245,2,25,2,AA,341,1528.0,-2.0,1842.0,-18.0
246,2,26,3,AA,341,1524.0,-6.0,1842.0,-18.0
247,2,27,4,AA,341,1524.0,-6.0,1804.0,-56.0
248,2,28,5,AA,341,1528.0,-2.0,1839.0,-21.0
249,2,25,2,B6,123,649.0,-11.0,957.0,-24.0
250,2,26,3,B6,123,656.0,-3.0,1005.0,-16.0
251,2,27,4,B6,123,656.0,-4.0,941.0,-41.0
252,2,28,5,B6,123,653.0,-7.0,950.0,-32.0
253,2,1,6,B6,223,1155.0,-5.0,1502.0,-15.0
254,2,2,7,B6,223,1120.0,-9.0,1437.0,-9.0
255,2,3,1,B6,223,1117.0,-12.0,1419.0,-27.0
256,2,4,2,B6,223,1124.0,-5.0,1435.0,-11.0
257,2,5,3,B6,223,1118.0,-11.0,1520.0,34.0
258,2,6,4,B6,223,1118.0,-11.0,1447.0,1.0
259,2,7,5,B6,223,1122.0,-7.0,1454.0,8.0
260,2,8,6,B6,223,1149.0,-11.0,1524.0,7.0
261,2,9,7,B6,223,1126.0,-3.0,1503.0,17.0
262,2,10,1,B6,223,1124.0,-5.0,1459.0,13.0
263,2,11,2,B6,223,1124.0,-5.0,1444.0,-2.0
264,2,12,3,B6,223,1122.0,-7.0,1518.0,32.0
265,2,13,4,B6,223,1211.0,71.0,1604.0,104.0
266,2,14,5,B6,223,1056.0,-4.0,1430.0,10.0
267,2,15,6,B6,223,1049.0,-11.0,1405.0,-15.0
268,2,16,7,B6,223,1141.0,41.0,1533.0,73.0
