,position,points,driver_id,dateOfBirth,nationality,year
758,9,12,depailler,1944-08-09,French,1975
759,10,8,pryce,1949-06-11,British,1975
760,11,6.5,brambilla,1937-11-11,Italian,1975
761,12,6,laffite,1943-11-21,French,1975
762,13,6,peterson,1944-02-14,Swedish,1975
763,14,5,mario_andretti,1940-02-28,American,1975
764,15,4,donohue,1937-03-18,American,1975
765,16,3,ickx,1945-01-01,Belgian,1975
766,17,2,jones,1946-11-02,Australian,1975
767,18,1.5,jarier,1946-07-10,French,1975
768,19,1,brise,1952-03-28,British,1975
769,20,1,lennep,1942-03-16,Dutch,1975
770,21,0.5,lombardi,1941-03-26,Italian,1975
771,22,0,stommelen,1943-07-11,German,1975
772,23,0,watson,1946-05-04,British,1975
773,24,0,ertl,1948-08-31,Austrian,1975
774,25,0,stuck,1951-01-01,German,1975
775,26,0,evans,1947-06-11,British,1975
776,27,0,wilson_fittipaldi,1943-12-25,Brazilian,1975
777,28,0,hill,1929-02-15,British,1975
778,29,0,lunger,1945-11-14,American,1975
779,30,0,palm,1947-07-23,Swedish,1975
780,1,69,hunt,1947-08-29,British,1976
781,2,68,lauda,1949-02-22,Austrian,1976
782,3,49,scheckter,1950-01-29,South African,1976
783,4,39,depailler,1944-08-09,French,1976
784,5,31,regazzoni,1939-09-05,Swiss,1976
785,6,22,mario_andretti,1940-02-28,American,1976
786,7,20,watson,1946-05-04,British,1976
787,8,20,laffite,1943-11-21,French,1976
788,9,19,mass,1946-09-30,German,1976
789,10,11,nilsson,1948-11-20,Swedish,1976
790,11,10,peterson,1944-02-14,Swedish,1976
791,12,10,pryce,1949-06-11,British,1976
792,13,8,stuck,1951-01-01,German,1976
793,14,7,pace,1944-10-06,Brazilian,1976
794,15,7,jones,1946-11-02,Australian,1976
795,16,3,reutemann,1942-04-12,Argentine,1976
796,17,3,emerson_fittipaldi,1946-12-12,Brazilian,1976
797,18,2,amon,1943-07-20,New Zealander,1976
798,19,1,brambilla,1937-11-11,Italian,1976
799,20,1,stommelen,1943-07-11,German,1976
800,21,0,ertl,1948-08-31,Austrian,1976
801,22,0,jarier,1946-07-10,French,1976
802,23,0,ickx,1945-01-01,Belgian,1976
803,24,0,perkins,1950-03-18,Australian,1976
804,25,0,pescarolo,1942-09-25,French,1976
805,26,0,merzario,1943-03-11,Italian,1976
806,27,0,takahara,1951-06-06,Japanese,1976
807,28,0,zorzi,1946-12-12,Italian,1976
808,29,0,leclere,1946-03-18,French,1976
809,30,0,lunger,1945-11-14,American,1976
810,1,72,lauda,1949-02-22,Austrian,1977
811,2,55,scheckter,1950-01-29,South African,1977
812,3,47,mario_andretti,1940-02-28,American,1977
813,4,42,reutemann,1942-04-12,Argentine,1977
814,5,40,hunt,1947-08-29,British,1977
815,6,25,mass,1946-09-30,German,1977
816,7,22,jones,1946-11-02,Australian,1977
817,8,20,nilsson,1948-11-20,Swedish,1977
818,9,20,depailler,1944-08-09,French,1977
819,10,18,laffite,1943-11-21,French,1977
820,11,12,stuck,1951-01-01,German,1977
821,12,11,emerson_fittipaldi,1946-12-12,Brazilian,1977
822,13,9,watson,1946-05-04,British,1977
823,14,7,peterson,1944-02-14,Swedish,1977
824,15,6,pace,1944-10-06,Brazilian,1977
825,16,6,brambilla,1937-11-11,Italian,1977
826,17,5,regazzoni,1939-09-05,Swiss,1977
827,18,5,tambay,1949-06-25,French,1977
828,19,1,jarier,1946-07-10,French,1977
829,20,1,patrese,1954-04-17,Italian,1977
830,21,1,zorzi,1946-12-12,Italian,1977
831,22,0,keegan,1955-02-26,British,1977
832,23,0,neve,1949-10-13,Belgian,1977
833,24,0,schuppan,1943-03-19,Australian,1977
834,25,0,hoffmann,1953-02-28,Brazilian,1977
835,26,0,ongais,1942-05-21,American,1977
836,27,0,ribeiro,1948-11-07,Brazilian,1977
837,28,0,binder,1948-06-12,Austrian,1977
838,29,0,lunger,1945-11-14,American,1977
839,30,0,ertl,1948-08-31,Austrian,1977
840,1,64,mario_andretti,1940-02-28,American,1978
841,2,51,peterson,1944-02-14,Swedish,1978
842,3,48,reutemann,1942-04-12,Argentine,1978
843,4,44,lauda,1949-02-22,Austrian,1978
844,5,34,depailler,1944-08-09,French,1978
845,6,25,watson,1946-05-04,British,1978
846,7,24,scheckter,1950-01-29,South African,1978
847,8,19,laffite,1943-11-21,French,1978
848,9,17,gilles_villeneuve,1950-01-18,Canadian,1978
849,10,17,emerson_fittipaldi,1946-12-12,Brazilian,1978
850,11,11,jones,1946-11-02,Australian,1978
851,12,11,patrese,1954-04-17,Italian,1978
852,13,8,hunt,1947-08-29,British,1978
853,14,8,tambay,1949-06-25,French,1978
854,15,7,pironi,1952-03-26,French,1978
855,16,4,regazzoni,1939-09-05,Swiss,1978
856,17,3,jabouille,1942-10-01,French,1978
857,18,2,stuck,1951-01-01,German,1978
858,19,1,brambilla,1937-11-11,Italian,1978
859,20,1,daly,1953-03-11,Irish,1978
860,21,1,rebaque,1956-02-05,Mexican,1978
861,22,0,lunger,1945-11-14,American,1978
862,23,0,giacomelli,1952-09-10,Italian,1978
863,24,0,mass,1946-09-30,German,1978
864,25,0,jarier,1946-07-10,French,1978
865,26,0,arnoux,1948-07-04,French,1978
866,27,0,stommelen,1943-07-11,German,1978
867,28,0,piquet,1952-08-17,Brazilian,1978
868,29,0,keke_rosberg,1948-12-06,Finnish,1978
869,30,0,keegan,1955-02-26,British,1978
870,1,51,scheckter,1950-01-29,South African,1979
871,2,47,gilles_villeneuve,1950-01-18,Canadian,1979
872,3,40,jones,1946-11-02,Australian,1979
873,4,36,laffite,1943-11-21,French,1979
874,5,29,regazzoni,1939-09-05,Swiss,1979
875,6,20,depailler,1944-08-09,French,1979
876,7,20,reutemann,1942-04-12,Argentine,1979
877,8,17,arnoux,1948-07-04,French,1979
878,9,15,watson,1946-05-04,British,1979
879,10,14,pironi,1952-03-26,French,1979
880,11,14,jarier,1946-07-10,French,1979
881,12,14,mario_andretti,1940-02-28,American,1979
882,13,9,jabouille,1942-10-01,French,1979
883,14,4,lauda,1949-02-22,Austrian,1979
884,15,3,angelis,1958-03-26,Italian,1979
885,16,3,piquet,1952-08-17,Brazilian,1979
886,17,3,ickx,1945-01-01,Belgian,1979
887,18,3,mass,1946-09-30,German,1979
888,19,2,stuck,1951-01-01,German,1979
889,20,2,patrese,1954-04-17,Italian,1979
890,21,1,emerson_fittipaldi,1946-12-12,Brazilian,1979
891,22,0,rebaque,1956-02-05,Mexican,1979
892,23,0,tambay,1949-06-25,French,1979
893,24,0,zunino,1949-04-13,Argentine,1979
894,25,0,lees,1951-05-01,British,1979
895,26,0,daly,1953-03-11,Irish,1979
896,27,0,hunt,1947-08-29,British,1979
897,28,0,lammers,1956-06-02,Dutch,1979
898,29,0,keke_rosberg,1948-12-06,Finnish,1979
899,30,0,brambilla,1937-11-11,Italian,1979
900,1,67,jones,1946-11-02,Australian,1980
901,2,54,piquet,1952-08-17,Brazilian,1980
902,3,42,reutemann,1942-04-12,Argentine,1980
903,4,34,laffite,1943-11-21,French,1980
904,5,32,pironi,1952-03-26,French,1980
905,6,29,arnoux,1948-07-04,French,1980
906,7,13,angelis,1958-03-26,Italian,1980
907,8,9,jabouille,1942-10-01,French,1980
908,9,7,patrese,1954-04-17,Italian,1980
909,10,6,keke_rosberg,1948-12-06,Finnish,1980
910,11,6,watson,1946-05-04,British,1980
911,12,6,daly,1953-03-11,Irish,1980
912,13,6,jarier,1946-07-10,French,1980
913,14,6,gilles_villeneuve,1950-01-18,Canadian,1980
914,15,5,emerson_fittipaldi,1946-12-12,Brazilian,1980
915,16,5,prost,1955-02-24,French,1980
916,17,4,mass,1946-09-30,German,1980
917,18,4,giacomelli,1952-09-10,Italian,1980
918,19,2,scheckter,1950-01-29,South African,1980
919,20,1,mario_andretti,1940-02-28,American,1980
920,21,1,rebaque,1956-02-05,Mexican,1980
921,22,0,surer,1951-09-18,Swiss,1980
922,23,0,zunino,1949-04-13,Argentine,1980
923,24,0,keegan,1955-02-26,British,1980
924,25,0,regazzoni,1939-09-05,Swiss,1980
925,26,0,lammers,1956-06-02,Dutch,1980
926,27,0,cheever,1958-01-10,American,1980
927,28,0,lees,1951-05-01,British,1980
928,29,0,depailler,1944-08-09,French,1980
929,30,0,mansell,1953-08-08,British,1980
930,1,50,piquet,1952-08-17,Brazilian,1981
931,2,49,reutemann,1942-04-12,Argentine,1981
932,3,46,jones,1946-11-02,Australian,1981
933,4,44,laffite,1943-11-21,French,1981
934,5,43,prost,1955-02-24,French,1981
935,6,27,watson,1946-05-04,British,1981
936,7,25,gilles_villeneuve,1950-01-18,Canadian,1981
937,8,14,angelis,1958-03-26,Italian,1981
938,9,11,arnoux,1948-07-04,French,1981
939,10,11,rebaque,1956-02-05,Mexican,1981
940,11,10,patrese,1954-04-17,Italian,1981
941,12,10,cheever,1958-01-10,American,1981
942,13,9,pironi,1952-03-26,French,1981
943,14,8,mansell,1953-08-08,British,1981
944,15,7,giacomelli,1952-09-10,Italian,1981
945,16,4,surer,1951-09-18,Swiss,1981
946,17,3,mario_andretti,1940-02-28,American,1981
947,18,1,cesaris,1959-05-31,Italian,1981
948,19,1,tambay,1949-06-25,French,1981
949,20,1,borgudd,1946-11-25,Swedish,1981
950,21,1,salazar,1954-11-14,Chilean,1981
951,22,0,jarier,1946-07-10,French,1981
952,23,0,daly,1953-03-11,Irish,1981
953,24,0,stohr,1952-10-10,Italian,1981
954,25,0,serra,1957-02-03,Brazilian,1981
955,26,0,keke_rosberg,1948-12-06,Finnish,1981
956,27,0,alboreto,1956-12-23,Italian,1981
957,28,0,henton,1946-09-19,British,1981
958,29,0,lammers,1956-06-02,Dutch,1981
959,30,0,zunino,1949-04-13,Argentine,1981
960,1,44,keke_rosberg,1948-12-06,Finnish,1982
961,2,39,pironi,1952-03-26,French,1982
962,3,39,watson,1946-05-04,British,1982
963,4,34,prost,1955-02-24,French,1982
964,5,30,lauda,1949-02-22,Austrian,1982
965,6,28,arnoux,1948-07-04,French,1982
966,7,25,tambay,1949-06-25,French,1982
967,8,25,alboreto,1956-12-23,Italian,1982
968,9,23,angelis,1958-03-26,Italian,1982
969,10,21,patrese,1954-04-17,Italian,1982
970,11,20,piquet,1952-08-17,Brazilian,1982
971,12,15,cheever,1958-01-10,American,1982
972,13,8,daly,1953-03-11,Irish,1982
973,14,7,mansell,1953-08-08,British,1982
974,15,6,gilles_villeneuve,1950-01-18,Canadian,1982
975,16,6,reutemann,1942-04-12,Argentine,1982
976,17,5,cesaris,1959-05-31,Italian,1982
977,18,5,laffite,1943-11-21,French,1982
978,19,4,mario_andretti,1940-02-28,American,1982
979,20,3,jarier,1946-07-10,French,1982
980,21,3,surer,1951-09-18,Swiss,1982
981,22,2,giacomelli,1952-09-10,Italian,1982
982,23,2,salazar,1954-11-14,Chilean,1982
983,24,2,manfred_winkelhock,1951-10-06,German,1982
984,25,2,baldi,1954-01-31,Italian,1982
985,26,1,serra,1957-02-03,Brazilian,1982
986,27,0,henton,1946-09-19,British,1982
987,28,0,mass,1946-09-30,German,1982
988,29,0,borgudd,1946-11-25,Swedish,1982
989,30,0,boesel,1957-12-04,Brazilian,1982
990,1,59,piquet,1952-08-17,Brazilian,1983
991,2,57,prost,1955-02-24,French,1983
992,3,49,arnoux,1948-07-04,French,1983
993,4,40,tambay,1949-06-25,French,1983
994,5,27,keke_rosberg,1948-12-06,Finnish,1983
995,6,22,watson,1946-05-04,British,1983
996,7,22,cheever,1958-01-10,American,1983
997,8,15,cesaris,1959-05-31,Italian,1983
998,9,13,patrese,1954-04-17,Italian,1983
999,10,12,lauda,1949-02-22,Austrian,1983
1000,11,11,laffite,1943-11-21,French,1983
1001,12,10,alboreto,1956-12-23,Italian,1983
1002,13,10,mansell,1953-08-08,British,1983
1003,14,9,warwick,1954-08-27,British,1983
1004,15,4,surer,1951-09-18,Swiss,1983
1005,16,3,baldi,1954-01-31,Italian,1983
1006,17,2,sullivan,1950-03-09,American,1983
1007,18,2,angelis,1958-03-26,Italian,1983
1008,19,1,giacomelli,1952-09-10,Italian,1983
1009,20,1,cecotto,1956-01-25,Venezuelan,1983
1010,21,0,boutsen,1957-07-13,Belgian,1983
1011,22,0,jarier,1946-07-10,French,1983
1012,23,0,serra,1957-02-03,Brazilian,1983
1013,24,0,boesel,1957-12-04,Brazilian,1983
1014,25,0,johansson,1956-09-08,Swedish,1983
1015,26,0,manfred_winkelhock,1951-10-06,German,1983
1016,27,0,corrado_fabi,1961-04-12,Italian,1983
1017,28,0,ghinzani,1952-01-16,Italian,1983
1018,29,0,guerrero,1958-11-16,Colombian,1983
1019,30,0,acheson,1957-11-27,British,1983
1020,1,72,lauda,1949-02-22,Austrian,1984
1021,2,71.5,prost,1955-02-24,French,1984
1022,3,34,angelis,1958-03-26,Italian,1984
1023,4,30.5,alboreto,1956-12-23,Italian,1984
1024,5,29,piquet,1952-08-17,Brazilian,1984
1025,6,27,arnoux,1948-07-04,French,1984
1026,7,23,warwick,1954-08-27,British,1984
1027,8,20.5,keke_rosberg,1948-12-06,Finnish,1984
1028,9,13,senna,1960-03-21,Brazilian,1984
1029,10,13,mansell,1953-08-08,British,1984
1030,11,11,tambay,1949-06-25,French,1984
1031,12,9,fabi,1955-03-09,Italian,1984
1032,13,8,patrese,1954-04-17,Italian,1984
1033,14,5,laffite,1943-11-21,French,1984
1034,15,5,boutsen,1957-07-13,Belgian,1984
1035,16,3,cheever,1958-01-10,American,1984
1036,17,3,johansson,1956-09-08,Swedish,1984
1037,18,3,cesaris,1959-05-31,Italian,1984
1038,19,2,ghinzani,1952-01-16,Italian,1984
1039,20,1,surer,1951-09-18,Swiss,1984
1040,21,0,gartner,1954-01-24,Austrian,1984
1041,22,0,berger,1959-08-27,Austrian,1984
1042,23,0,hesnault,1956-12-30,French,1984
1043,24,0,corrado_fabi,1961-04-12,Italian,1984
1044,25,0,baldi,1954-01-31,Italian,1984
1045,26,0,manfred_winkelhock,1951-10-06,German,1984
1046,27,0,palmer,1956-11-07,British,1984
1047,28,0,rothengatter,1954-10-08,Dutch,1984
1048,29,0,cecotto,1956-01-25,Venezuelan,1984
1049,30,0,alliot,1954-07-27,French,1984
1050,1,73,prost,1955-02-24,French,1985
1051,2,53,alboreto,1956-12-23,Italian,1985
1052,3,40,keke_rosberg,1948-12-06,Finnish,1985
1053,4,38,senna,1960-03-21,Brazilian,1985
1054,5,33,angelis,1958-03-26,Italian,1985
1055,6,31,mansell,1953-08-08,British,1985
1056,7,26,johansson,1956-09-08,Swedish,1985
1057,8,21,piquet,1952-08-17,Brazilian,1985
1058,9,16,laffite,1943-11-21,French,1985
1059,10,14,lauda,1949-02-22,Austrian,1985
1060,11,11,boutsen,1957-07-13,Belgian,1985
1061,12,11,tambay,1949-06-25,French,1985
1062,13,5,surer,1951-09-18,Swiss,1985
1063,14,5,warwick,1954-08-27,British,1985
1064,15,4,streiff,1955-06-26,French,1985
1065,16,4,bellof,1957-11-20,German,1985
1066,17,3,cesaris,1959-05-31,Italian,1985
1067,18,3,capelli,1963-05-24,Italian,1985
1068,19,3,arnoux,1948-07-04,French,1985
1069,20,3,berger,1959-08-27,Austrian,1985
1070,21,0,brundle,1959-06-01,British,1985
1071,22,0,rothengatter,1954-10-08,Dutch,1985
1072,23,0,watson,1946-05-04,British,1985
1073,24,0,martini,1961-04-23,Italian,1985
1074,25,0,patrese,1954-04-17,Italian,1985
1075,26,0,cheever,1958-01-10,American,1985
1076,27,0,ghinzani,1952-01-16,Italian,1985
1077,28,0,alliot,1954-07-27,French,1985
1078,29,0,palmer,1956-11-07,British,1985
1079,30,0,manfred_winkelhock,1951-10-06,German,1985
1080,1,72,prost,1955-02-24,French,1986
1081,2,70,mansell,1953-08-08,British,1986
1082,3,69,piquet,1952-08-17,Brazilian,1986
1083,4,55,senna,1960-03-21,Brazilian,1986
1084,5,23,johansson,1956-09-08,Swedish,1986
1085,6,22,keke_rosberg,1948-12-06,Finnish,1986
1086,7,17,berger,1959-08-27,Austrian,1986
1087,8,14,laffite,1943-11-21,French,1986
1088,9,14,alboreto,1956-12-23,Italian,1986
1089,10,14,arnoux,1948-07-04,French,1986
1090,11,8,brundle,1959-06-01,British,1986
1091,12,4,jones,1946-11-02,Australian,1986
1092,13,3,dumfries,1958-04-26,British,1986
1093,14,3,streiff,1955-06-26,French,1986
1094,15,2,tambay,1949-06-25,French,1986
1095,16,2,fabi,1955-03-09,Italian,1986
1096,17,2,patrese,1954-04-17,Italian,1986
1097,18,1,danner,1958-04-04,German,1986
1098,19,1,alliot,1954-07-27,French,1986
1099,20,0,boutsen,1957-07-13,Belgian,1986
1100,21,0,warwick,1954-08-27,British,1986
1101,22,0,palmer,1956-11-07,British,1986
1102,23,0,rothengatter,1954-10-08,Dutch,1986
1103,24,0,cesaris,1959-05-31,Italian,1986
1104,25,0,angelis,1958-03-26,Italian,1986
1105,26,0,surer,1951-09-18,Swiss,1986
1106,27,0,ghinzani,1952-01-16,Italian,1986
1107,28,0,berg,1961-08-01,Canadian,1986
1108,29,0,nannini,1959-07-07,Italian,1986
1109,30,0,caffi,1964-03-18,Italian,1986
1110,1,73,piquet,1952-08-17,Brazilian,1987
1111,2,61,mansell,1953-08-08,British,1987
1112,3,57,senna,1960-03-21,Brazilian,1987
1113,4,46,prost,1955-02-24,French,1987
1114,5,36,berger,1959-08-27,Austrian,1987
1115,6,30,johansson,1956-09-08,Swedish,1987
1116,7,17,alboreto,1956-12-23,Italian,1987
1117,8,16,boutsen,1957-07-13,Belgian,1987
1118,9,12,fabi,1955-03-09,Italian,1987
1119,10,8,cheever,1958-01-10,American,1987
1120,11,7,palmer,1956-11-07,British,1987
1121,12,7,satoru_nakajima,1953-02-23,Japanese,1987
1122,13,6,patrese,1954-04-17,Italian,1987
1123,14,4,cesaris,1959-05-31,Italian,1987
1124,15,4,streiff,1955-06-26,French,1987
1125,16,3,warwick,1954-08-27,British,1987
1126,17,3,alliot,1954-07-27,French,1987
1127,18,2,brundle,1959-06-01,British,1987
1128,19,1,capelli,1963-05-24,Italian,1987
1129,20,1,arnoux,1948-07-04,French,1987
1130,21,1,moreno,1959-02-11,Brazilian,1987
1131,22,0,dalmas,1961-07-28,French,1987
1132,23,0,danner,1958-04-04,German,1987
1133,24,0,ghinzani,1952-01-16,Italian,1987
1134,25,0,fabre,1960-01-09,French,1987
1135,26,0,nannini,1959-07-07,Italian,1987
1136,27,0,caffi,1964-03-18,Italian,1987
1137,28,0,campos,1960-06-17,Spanish,1987
1138,29,0,forini,1958-09-22,Swiss,1987
1139,30,0,modena,1963-05-12,Italian,1987
1140,1,90,senna,1960-03-21,Brazilian,1988
1141,2,87,prost,1955-02-24,French,1988
1142,3,41,berger,1959-08-27,Austrian,1988
1143,4,27,boutsen,1957-07-13,Belgian,1988
1144,5,24,alboreto,1956-12-23,Italian,1988
1145,6,22,piquet,1952-08-17,Brazilian,1988
1146,7,17,capelli,1963-05-24,Italian,1988
1147,8,17,warwick,1954-08-27,British,1988
1148,9,12,mansell,1953-08-08,British,1988
1149,10,12,nannini,1959-07-07,Italian,1988
1150,11,8,patrese,1954-04-17,Italian,1988
1151,12,6,cheever,1958-01-10,American,1988
1152,13,5,gugelmin,1963-04-20,Brazilian,1988
1153,14,5,palmer,1956-11-07,British,1988
1154,15,3,cesaris,1959-05-31,Italian,1988
1155,16,1,satoru_nakajima,1953-02-23,Japanese,1988
1156,17,1,martini,1961-04-23,Italian,1988
1157,18,0,dalmas,1961-07-28,French,1988
1158,19,0,caffi,1964-03-18,Italian,1988
1159,20,0,brundle,1959-06-01,British,1988
1160,21,0,streiff,1955-06-26,French,1988
1161,22,0,sala,1959-05-15,Spanish,1988
1162,23,0,tarquini,1962-03-02,Italian,1988
1163,24,0,alliot,1954-07-27,French,1988
1164,25,0,johansson,1956-09-08,Swedish,1988
1165,26,0,bailey,1961-10-09,British,1988
1166,27,0,larini,1964-03-19,Italian,1988
1167,28,0,arnoux,1948-07-04,French,1988
1168,29,0,modena,1963-05-12,Italian,1988
1169,30,0,schlesser,1948-09-12,French,1988
1170,1,76,prost,1955-02-24,French,1989
1171,2,60,senna,1960-03-21,Brazilian,1989
1172,3,40,patrese,1954-04-17,Italian,1989
1173,4,38,mansell,1953-08-08,British,1989
1174,5,37,boutsen,1957-07-13,Belgian,1989
1175,6,32,nannini,1959-07-07,Italian,1989
1176,7,21,berger,1959-08-27,Austrian,1989
1177,8,12,piquet,1952-08-17,Brazilian,1989
1178,9,8,alesi,1964-06-11,French,1989
1179,10,7,warwick,1954-08-27,British,1989
1180,11,6,cheever,1958-01-10,American,1989
1181,12,6,johansson,1956-09-08,Swedish,1989
1182,13,6,alboreto,1956-12-23,Italian,1989
1183,14,5,herbert,1964-06-25,British,1989
1184,15,5,martini,1961-04-23,Italian,1989
1185,16,4,gugelmin,1963-04-20,Brazilian,1989
1186,17,4,cesaris,1959-05-31,Italian,1989
1187,18,4,modena,1963-05-12,Italian,1989
1188,19,4,caffi,1964-03-18,Italian,1989
1189,20,4,brundle,1959-06-01,British,1989
1190,21,3,satoru_nakajima,1953-02-23,Japanese,1989
1191,22,3,danner,1958-04-04,German,1989
1192,23,2,pirro,1962-01-12,Italian,1989
1193,24,2,arnoux,1948-07-04,French,1989
1194,25,2,palmer,1956-11-07,British,1989
1195,26,1,grouillard,1958-09-02,French,1989
1196,27,1,tarquini,1962-03-02,Italian,1989
1197,28,1,sala,1959-05-15,Spanish,1989
1198,29,1,alliot,1954-07-27,French,1989
1199,30,0,capelli,1963-05-24,Italian,1989
1200,1,78,senna,1960-03-21,Brazilian,1990
1201,2,71,prost,1955-02-24,French,1990
1202,3,43,piquet,1952-08-17,Brazilian,1990
1203,4,43,berger,1959-08-27,Austrian,1990
1204,5,37,mansell,1953-08-08,British,1990
1205,6,34,boutsen,1957-07-13,Belgian,1990
1206,7,23,patrese,1954-04-17,Italian,1990
1207,8,21,nannini,1959-07-07,Italian,1990
1208,9,13,alesi,1964-06-11,French,1990
1209,10,6,capelli,1963-05-24,Italian,1990
1210,11,6,moreno,1959-02-11,Brazilian,1990
1211,12,6,suzuki,1960-09-08,Japanese,1990
1212,13,5,bernard,1964-08-24,French,1990
1213,14,3,warwick,1954-08-27,British,1990
1214,15,3,satoru_nakajima,1953-02-23,Japanese,1990
1215,16,2,caffi,1964-03-18,Italian,1990
1216,17,2,modena,1963-05-12,Italian,1990
1217,18,1,gugelmin,1963-04-20,Brazilian,1990
1218,19,0,larini,1964-03-19,Italian,1990
1219,20,0,donnelly,1964-03-26,British,1990
1220,21,0,martini,1961-04-23,Italian,1990
1221,22,0,foitek,1965-03-27,Swiss,1990
1222,23,0,alliot,1954-07-27,French,1990
1223,24,0,alboreto,1956-12-23,Italian,1990
1224,25,0,dalmas,1961-07-28,French,1990
1225,26,0,pirro,1962-01-12,Italian,1990
1226,27,0,cesaris,1959-05-31,Italian,1990
1227,28,0,barilla,1961-04-20,Italian,1990
1228,29,0,lehto,1966-01-31,Finnish,1990
1229,30,0,schneider,1964-07-20,German,1990
1230,1,96,senna,1960-03-21,Brazilian,1991
1231,2,72,mansell,1953-08-08,British,1991
1232,3,53,patrese,1954-04-17,Italian,1991
1233,4,43,berger,1959-08-27,Austrian,1991
1234,5,34,prost,1955-02-24,French,1991
1235,6,26.5,piquet,1952-08-17,Brazilian,1991
1236,7,21,alesi,1964-06-11,French,1991
1237,8,10,modena,1963-05-12,Italian,1991
1238,9,9,cesaris,1959-05-31,Italian,1991
1239,10,8,moreno,1959-02-11,Brazilian,1991
1240,11,6,martini,1961-04-23,Italian,1991
1241,12,4,lehto,1966-01-31,Finnish,1991
1242,13,4,gachot,1962-12-23,Belgian,1991
1243,14,4,michael_schumacher,1969-01-03,German,1991
1244,15,2,satoru_nakajima,1953-02-23,Japanese,1991
1245,16,2,hakkinen,1968-09-28,Finnish,1991
1246,17,2,brundle,1959-06-01,British,1991
1247,18,1,pirro,1962-01-12,Italian,1991
1248,19,1,blundell,1966-04-08,British,1991
1249,20,1,capelli,1963-05-24,Italian,1991
1250,21,1,bernard,1964-08-24,French,1991
1251,22,1,suzuki,1960-09-08,Japanese,1991
1252,23,1,bailey,1961-10-09,British,1991
1253,24,0.5,morbidelli,1968-01-13,Italian,1991
1254,25,0,gugelmin,1963-04-20,Brazilian,1991
1255,26,0,boutsen,1957-07-13,Belgian,1991
1256,27,0,herbert,1964-06-25,British,1991
1257,28,0,larini,1964-03-19,Italian,1991
1258,29,0,comas,1963-09-28,French,1991
1259,30,0,tarquini,1962-03-02,Italian,1991
1260,1,108,mansell,1953-08-08,British,1992
1261,2,56,patrese,1954-04-17,Italian,1992
1262,3,53,michael_schumacher,1969-01-03,German,1992
1263,4,50,senna,1960-03-21,Brazilian,1992
1264,5,49,berger,1959-08-27,Austrian,1992
1265,6,38,brundle,1959-06-01,British,1992
1266,7,18,alesi,1964-06-11,French,1992
1267,8,11,hakkinen,1968-09-28,Finnish,1992
1268,9,8,cesaris,1959-05-31,Italian,1992
1269,10,6,alboreto,1956-12-23,Italian,1992
1270,11,4,comas,1963-09-28,French,1992
1271,12,3,wendlinger,1968-12-20,Austrian,1992
1272,13,3,capelli,1963-05-24,Italian,1992
1273,14,2,boutsen,1957-07-13,Belgian,1992
1274,15,2,herbert,1964-06-25,British,1992
1275,16,2,martini,1961-04-23,Italian,1992
1276,17,1,modena,1963-05-12,Italian,1992
1277,18,1,fittipaldi,1971-01-18,Brazilian,1992
1278,19,1,gachot,1962-12-23,Belgian,1992
1279,20,0,suzuki,1960-09-08,Japanese,1992
1280,21,0,lehto,1966-01-31,Finnish,1992
1281,22,0,morbidelli,1968-01-13,Italian,1992
1282,23,0,gugelmin,1963-04-20,Brazilian,1992
1283,24,0,grouillard,1958-09-02,French,1992
1284,25,0,katayama,1963-05-29,Japanese,1992
1285,26,0,belmondo,1963-04-23,French,1992
1286,27,0,poele,1961-09-30,Belgian,1992
1287,28,0,naspetti,1968-02-24,Italian,1992
1288,29,0,larini,1964-03-19,Italian,1992
1289,30,0,damon_hill,1960-09-17,British,1992
1290,1,99,prost,1955-02-24,French,1993
1291,2,73,senna,1960-03-21,Brazilian,1993
1292,3,69,damon_hill,1960-09-17,British,1993
1293,4,52,michael_schumacher,1969-01-03,German,1993
1294,5,20,patrese,1954-04-17,Italian,1993
1295,6,16,alesi,1964-06-11,French,1993
1296,7,13,brundle,1959-06-01,British,1993
1297,8,12,berger,1959-08-27,Austrian,1993
1298,9,11,herbert,1964-06-25,British,1993
1299,10,10,blundell,1966-04-08,British,1993
1300,11,7,andretti,1962-10-05,American,1993
1301,12,7,wendlinger,1968-12-20,Austrian,1993
1302,13,5,lehto,1966-01-31,Finnish,1993
1303,14,5,fittipaldi,1971-01-18,Brazilian,1993
1304,15,4,hakkinen,1968-09-28,Finnish,1993
1305,16,4,warwick,1954-08-27,British,1993
1306,17,2,alliot,1954-07-27,French,1993
1307,18,2,barrichello,1972-05-23,Brazilian,1993
1308,19,2,barbazza,1963-04-02,Italian,1993
1309,20,1,zanardi,1966-10-23,Italian,1993
1310,21,1,comas,1963-09-28,French,1993
1311,22,1,irvine,1965-11-10,British,1993
1312,23,0,martini,1961-04-23,Italian,1993
1313,24,0,suzuki,1960-09-08,Japanese,1993
1314,25,0,badoer,1971-01-25,Italian,1993
1315,26,0,boutsen,1957-07-13,Belgian,1993
1316,27,0,cesaris,1959-05-31,Italian,1993
1317,28,0,katayama,1963-05-29,Japanese,1993
1318,29,0,alboreto,1956-12-23,Italian,1993
1319,30,0,lamy,1972-03-20,Portuguese,1993
1320,1,92,michael_schumacher,1969-01-03,German,1994
1321,2,91,damon_hill,1960-09-17,British,1994
1322,3,41,berger,1959-08-27,Austrian,1994
