year,player,surface,matches_tot,matches_w,perc_2nd_overall,perc_2nd_w,margin_2nd_w,matches_2nd_w
1991,Christian Saceanu,Clay,8,2,14.350000000000001,22.0,-0.5,0
1991,Christian Saceanu,Grass,11,8,17.363636363636363,19.25,0.625,2
1991,Christian Saceanu,Hard,7,2,19.142857142857142,22.5,-4.0,0
1991,Owen Casey,Clay,3,0,,,,0
1991,Olivier Delaitre,Carpet,5,4,17.8,19.0,2.25,0
1991,Olivier Delaitre,Clay,6,3,19.75,22.5,1.0,1
1991,Olivier Delaitre,Hard,19,12,15.736842105263158,16.666666666666668,5.916666666666668,4
1991,Juan Carlos Baguena,Clay,2,0,,,,0
1991,Srdan Muskatirovic,Carpet,2,0,,,,0
1991,Emanuel Couto,Clay,1,0,,,,0
1991,Juan Pino,Hard,4,3,,,,0
1991,Olli Rahnasto,Clay,1,0,,,,0
1991,Olli Rahnasto,Hard,2,1,,,,0
1991,Sergio Casal,Hard,1,0,,,,0
1991,Radomir Vasek,Clay,1,0,,,,0
1991,Bertrand Lacombe,Clay,2,0,,,,0
1991,Carlos Roberto Paez,Hard,2,0,,,,0
1991,Jaime Oncins,Carpet,2,2,,,,0
1991,Jaime Oncins,Clay,14,9,15.75,15.5,5.5,2
1991,Jaime Oncins,Grass,4,2,14.25,19.5,7.0,2
1991,Jaime Oncins,Hard,24,14,15.96474358974359,16.153846153846153,2.846153846153845,5
1991,Paul Chamberlin,Carpet,1,0,,,,0
1991,Shahar Perkiss,Hard,1,0,,,,0
1991,Bong Soo Kim,Carpet,1,0,,,,0
1991,Ricardo Camargo,Carpet,1,0,,,,0
1991,Manuel Tejada,Clay,2,0,,,,0
1991,Andrei Cherkasov,Carpet,23,16,17.200111482720178,16.923076923076923,2.615384615384615,1
1991,Andrei Cherkasov,Clay,25,13,16.09090909090909,15.0,2.125,1
1991,Andrei Cherkasov,Grass,1,0,,,,0
1991,Andrei Cherkasov,Hard,24,13,18.25,17.76923076923077,2.3076923076923084,5
1991,Bonit Wiryawan,Grass,1,0,,,,0
1991,Omer Rashid,Hard,2,1,,,,0
1991,Alaaddin Karagoz,Hard,4,2,,,,0
1991,Anders Haseth,Carpet,2,2,,,,0
1991,Anders Haseth,Clay,2,1,,,,0
1991,Emad Abou Hamdeh,Hard,2,0,,,,0
1991,Daniel Chavez Morales,Hard,2,1,,,,0
1991,Alvaro Jordan,Clay,4,3,,,,0
1991,Alvaro Jordan,Hard,4,4,,,,0
1991,Christo Van Rensburg,Carpet,5,2,14.5,14.5,4.0,1
1991,Christo Van Rensburg,Grass,9,6,20.0,21.166666666666668,5.833333333333334,1
1991,Christo Van Rensburg,Hard,15,7,18.133333333333333,18.285714285714285,0.2857142857142847,2
1991,Michael Walker,Hard,7,5,,,,0
1991,Brett Steven,Carpet,2,0,,,,0
1991,Brett Steven,Grass,3,0,,,,0
1991,Brett Steven,Hard,5,1,12.8,17.0,-5.0,0
1991,Lawson Duncan,Clay,1,0,,,,0
1991,Lawson Duncan,Hard,1,0,,,,0
1991,Bing Pan,Hard,2,0,,,,0
1991,Karel Novacek,Carpet,28,13,14.07942057942058,13.727272727272727,1.3636363636363633,2
1991,Karel Novacek,Clay,43,33,17.64857881136951,18.78787878787879,5.757575757575758,18
1991,Karel Novacek,Grass,4,3,21.5,24.666666666666668,8.333333333333336,1
1991,Karel Novacek,Hard,14,9,20.821428571428573,24.5,2.75,1
1991,Cyril Suk,Clay,1,0,,,,0
1991,Cyril Suk,Hard,1,0,,,,0
1991,Todd Witsken,Carpet,1,0,,,,0
1991,Todd Witsken,Clay,4,2,14.0,14.0,4.0,1
1991,Todd Witsken,Grass,6,3,16.166666666666668,15.0,6.0,1
1991,Todd Witsken,Hard,17,7,13.117647058823529,15.857142857142858,-1.5714285714285694,0
1991,Jose Antonio Pepe Conde,Clay,3,1,9.0,9.0,-3.0,0
1991,Yahiya Doumbia,Carpet,2,0,,,,0
1991,Vernon Lewis,Hard,4,2,,,,0
1991,Cesar Kist,Carpet,1,0,,,,0
1991,Diego Perez,Carpet,2,1,,,,0
1991,Diego Perez,Clay,10,3,12.0,11.0,0.0,0
1991,Diego Perez,Hard,4,2,10.75,6.5,-2.5,0
1991,Fernando Luna,Clay,2,0,,,,0
1991,Fernando Luna,Hard,1,0,,,,0
1991,Stefan Edberg,Carpet,21,18,13.476190476190476,13.444444444444445,0.2222222222222232,6
1991,Stefan Edberg,Clay,15,9,16.183333333333334,14.75,5.25,0
1991,Stefan Edberg,Grass,11,10,15.0,12.8,-0.7999999999999989,0
1991,Stefan Edberg,Hard,46,39,15.76086956521739,15.41025641025641,1.6410256410256405,8
1991,Pat Cash,Carpet,8,4,13.25,15.5,-5.0,0
1991,Pat Cash,Clay,4,1,,,,0
1991,Pat Cash,Grass,6,4,21.333333333333332,15.0,4.333333333333334,1
1991,Pat Cash,Hard,7,5,15.428571428571429,16.8,3.6000000000000014,2
1991,Vaclav Roubicek,Clay,1,0,,,,0
1991,Vaclav Roubicek,Hard,1,0,,,,0
1991,Leonardo Lavalle,Carpet,1,0,,,,0
1991,Leonardo Lavalle,Clay,3,0,,,,0
1991,Leonardo Lavalle,Hard,8,6,15.600000000000001,13.8,-3.8000000000000007,1
1991,Jim Courier,Carpet,13,7,14.96923076923077,15.285714285714286,2.571428571428573,2
1991,Jim Courier,Clay,13,10,20.576923076923077,21.5,1.8333333333333321,1
1991,Jim Courier,Grass,5,4,14.2,14.75,-2.0,0
1991,Jim Courier,Hard,47,37,15.122340425531915,15.18918918918919,1.1621621621621632,7
1991,Slava Dosedel,Carpet,4,1,21.0,32.0,3.0,1
1991,Slava Dosedel,Clay,5,1,,,,0
1991,Slava Dosedel,Hard,8,2,22.125,26.0,8.0,2
1991,Marcos Aurelio Gorriz,Carpet,4,3,18.0,20.0,4.0,1
1991,Marcos Aurelio Gorriz,Clay,3,1,13.666666666666666,14.0,3.0,1
1991,Johan Carlsson,Hard,12,6,14.166666666666666,17.0,1.0,1
1991,Garth Thomson,Hard,2,1,,,,0
1991,Andras Lanyi,Carpet,1,0,,,,0
1991,Horst Skoff,Carpet,10,3,12.983333333333334,15.666666666666666,0.33333333333333215,1
1991,Horst Skoff,Clay,40,25,13.45625,14.25,4.416666666666666,9
1991,Horst Skoff,Grass,3,1,16.333333333333332,19.0,-3.0,0
1991,Horst Skoff,Hard,11,5,15.909090909090908,23.0,-0.6000000000000014,0
1991,John McEnroe,Carpet,15,11,16.093333333333334,15.4,4.200000000000001,1
1991,John McEnroe,Clay,2,0,,,,0
1991,John McEnroe,Grass,7,5,22.785714285714285,24.5,4.5,1
1991,John McEnroe,Hard,28,18,17.63888888888889,16.38888888888889,3.722222222222223,5
1991,Salvador Colvee,Clay,2,1,,,,0
1991,Salvador Colvee,Hard,2,1,,,,0
1991,Miguel Merz,Clay,4,2,17.5,30.0,3.0,0
1991,Aaron Krickstein,Carpet,12,8,12.638888888888888,13.625,2.625,3
1991,Aaron Krickstein,Clay,11,7,15.696969696969699,17.666666666666668,4.666666666666668,2
1991,Aaron Krickstein,Grass,2,1,19.0,32.0,6.0,1
1991,Aaron Krickstein,Hard,27,15,20.814814814814813,22.266666666666666,4.133333333333333,7
1991,Alexander Mronz,Carpet,11,5,14.381818181818181,18.2,6.6,2
1991,Alexander Mronz,Clay,6,1,11.833333333333334,16.0,3.0,0
1991,Alexander Mronz,Grass,1,0,,,,0
1991,Alexander Mronz,Hard,23,10,18.695652173913043,18.6,0.6000000000000014,2
1991,Pablo Albano,Hard,2,1,11.5,18.0,-1.0,0
1991,Andrei Medvedev,Carpet,2,1,15.0,20.0,9.0,1
1991,Andrei Medvedev,Clay,10,4,13.2,10.5,-0.5,1
1991,Johan Kriek,Carpet,4,2,16.0,19.0,6.0,1
1991,Johan Kriek,Grass,4,1,18.75,18.0,10.0,0
1991,Johan Kriek,Hard,2,0,,,,0
1991,Pete Sampras,Carpet,25,19,16.58,14.31578947368421,0.47368421052631504,3
1991,Pete Sampras,Clay,6,3,17.833333333333332,20.0,2.0,0
1991,Pete Sampras,Grass,8,5,15.71875,13.75,-1.25,1
1991,Pete Sampras,Hard,32,25,18.375,18.52,4.0,11
1991,Yannick Noah,Carpet,3,1,12.333333333333334,16.0,3.0,0
1991,Yannick Noah,Clay,10,6,14.8,17.833333333333332,4.999999999999998,2
1991,Yannick Noah,Hard,1,0,,,,0
1991,Alexander Reichel,Grass,2,1,12.5,19.0,-2.0,0
1991,Arne Thoms,Grass,5,3,18.0,19.666666666666668,2.3333333333333357,0
1991,Khaled Al Foudari,Hard,2,0,,,,0
1991,Eoin Collins,Clay,1,0,,,,0
1991,Mark Kratzmann,Carpet,3,1,20.666666666666668,18.0,2.0,0
1991,Mark Kratzmann,Grass,6,3,22.833333333333332,20.0,1.0,1
1991,Mark Kratzmann,Hard,9,1,22.333333333333332,24.0,9.0,1
1991,Mark Keil,Carpet,2,1,17.0,23.0,-14.0,0
1991,Mark Keil,Grass,4,2,15.75,18.0,3.5,0
1991,Jonas Svensson,Carpet,23,16,13.107246376811595,14.466666666666667,-1.4000000000000004,3
1991,Jonas Svensson,Clay,10,3,9.55,12.0,-1.333333333333334,0
1991,Jonas Svensson,Hard,13,5,17.46153846153846,17.8,1.1999999999999993,1
1991,Jim Grabb,Carpet,11,5,15.272727272727273,14.6,0.0,0
1991,Jim Grabb,Clay,1,0,,,,0
1991,Jim Grabb,Grass,4,1,19.125,30.0,5.0,0
1991,Jim Grabb,Hard,26,13,14.237179487179485,14.166666666666666,-1.916666666666666,1
1991,Tim Mayotte,Carpet,6,2,19.833333333333332,15.5,6.0,1
1991,Tim Mayotte,Grass,4,3,34.5,33.333333333333336,4.666666666666668,1
1991,Tim Mayotte,Hard,15,7,13.666666666666666,13.285714285714286,0.7142857142857153,1
1991,Chuck Adams,Carpet,5,3,14.4,15.333333333333334,3.0,0
1991,Chuck Adams,Clay,2,0,,,,0
1991,Chuck Adams,Grass,1,0,,,,0
1991,Chuck Adams,Hard,14,7,16.285714285714285,16.857142857142858,-1.8571428571428577,1
1991,John Maginley,Hard,3,1,,,,0
1991,Karim Alami,Carpet,2,0,,,,0
1991,Karim Alami,Clay,2,0,,,,0
1991,Kentaro Masuda,Hard,1,0,,,,0
1991,Gilad Bloom,Carpet,2,0,,,,0
1991,Gilad Bloom,Clay,8,0,,,,0
1991,Gilad Bloom,Grass,3,1,24.666666666666668,11.0,6.0,0
1991,Gilad Bloom,Hard,30,14,12.8,11.714285714285714,-1.071428571428573,2
1991,Patrik Kuhnen,Carpet,11,4,14.909090909090908,13.0,-1.75,1
1991,Patrik Kuhnen,Clay,7,2,17.714285714285715,8.0,-4.0,0
1991,Patrik Kuhnen,Grass,6,4,16.333333333333332,15.25,-0.5,0
1991,Patrik Kuhnen,Hard,21,11,18.323809523809523,18.8,2.8000000000000007,3
1991,Nuno Marques,Clay,16,7,13.491071428571429,20.0,7.25,1
1991,Nuno Marques,Grass,1,0,,,,0
1991,Nuno Marques,Hard,9,4,15.88888888888889,15.5,-3.0,0
1991,Todd Woodbridge,Carpet,13,5,11.401098901098901,12.5,1.5,0
1991,Todd Woodbridge,Clay,3,1,,,,0
1991,Todd Woodbridge,Grass,5,3,17.0,21.333333333333332,2.0,2
1991,Todd Woodbridge,Hard,27,14,16.074074074074073,19.428571428571427,6.571428571428569,8
1991,Michael Robertson,Carpet,1,0,,,,0
1991,Michael Robertson,Clay,1,0,,,,0
1991,Raviv Weidenfeld,Hard,2,1,11.0,18.0,8.0,1
1991,Hidehiko Tanizawa,Carpet,1,0,,,,0
1991,Henri Leconte,Carpet,3,1,,,,0
1991,Henri Leconte,Clay,13,7,20.98076923076923,20.25,9.5,3
1991,Henri Leconte,Grass,3,2,26.0,25.5,9.5,0
1991,Henri Leconte,Hard,4,1,24.5,28.0,14.0,1
1991,Thomas Hogstedt,Carpet,13,5,16.087912087912088,19.2,8.399999999999999,4
1991,Thomas Hogstedt,Clay,2,0,,,,0
1991,Thomas Hogstedt,Grass,1,0,,,,0
1991,Thomas Hogstedt,Hard,18,6,14.166666666666666,15.666666666666666,3.5,4
1991,Frederic Fontang,Carpet,4,1,12.25,13.0,-2.0,0
1991,Frederic Fontang,Clay,14,9,14.75,14.88888888888889,3.222222222222223,2
