year,tournament,surface,tourney_level,avg_sets,avg_diff_games,avg_tot_games,avg_rank,fave_ratio,avg_winner_rank,rank_drop,avg_fave_ratio,match_tightness,match_balance
1968,Rome,Clay,M,3.504854368932039,7.766990291262136,31.902912621359224,,0.0,,,0.0,0.9911858974358974,0.7933234186788041
1968,Toronto,Clay,M,3.3174603174603177,9.841269841269842,29.047619047619047,,0.0,,,0.0,0.7756410256410255,0.7269635873673141
1968,Cincinnati,Clay,M,2.6363636363636362,4.090909090909091,27.90909090909091,,0.0,,,0.0,0.7243589743589743,0.8434831691297209
1968,Roland Garros,Clay,G,2.645669291338583,6.31496062992126,24.708661417322833,,0.0,,,0.0,0.5288461538461539,0.7681671800101689
1968,Wimbledon,Grass,G,3.645669291338583,7.141732283464567,37.89763779527559,,0.0,,,0.0,0.5879807692307693,0.799443272475894
1968,US Open,Grass,G,3.5789473684210527,7.5473684210526315,38.05263157894737,,0.0,,,0.0,0.7682692307692307,0.8786656319752902
1968,Australian Chps.,Grass,G,3.6065573770491803,7.688524590163935,33.26229508196721,,0.0,,,0.0,0.64375,0.8716233944019295
1969,Rome,Clay,M,2.925,5.7375,27.9625,,0.0,,,0.0,1.0729166666666667,0.8002868680002589
1969,Toronto,Clay,M,3.2127659574468086,7.617021276595745,28.51063829787234,,0.0,,,0.0,0.9407051282051282,0.794514747707155
1969,Cincinnati,Clay,M,2.1578947368421053,5.294736842105263,21.08421052631579,,0.0,,,0.0,0.4895833333333333,0.6442212687779358
1969,Roland Garros,Clay,G,3.440944881889764,8.007874015748031,31.818897637795274,,0.0,,,0.0,0.5298076923076924,0.7553959131545338
1969,Wimbledon,Grass,G,3.779527559055118,6.2362204724409445,41.38582677165354,,0.0,,,0.0,0.6581730769230769,0.8815576279967972
1969,US Open,Grass,G,3.606299212598425,7.425196850393701,37.25196850393701,,0.0,,,0.0,0.7076923076923077,0.8341038911583466
1969,Australian Open,Grass,G,3.382978723404255,7.659574468085107,35.276595744680854,,0.0,,,0.0,0.6764423076923077,0.8301828381176497
1970,Rome,Clay,M,3.774193548387097,7.806451612903226,36.645161290322584,,0.0,,,0.0,0.9735576923076923,0.8447223508199118
1970,Montreal / Toronto,Clay,M,2.3684210526315788,5.368421052631579,23.36842105263158,,0.0,,,0.0,0.6722756410256411,0.7832894858048232
1970,Cincinnati,Clay,M,2.3174603174603177,5.650793650793651,21.58730158730159,,0.0,,,0.0,0.7283653846153846,0.7711369771770751
1970,Roland Garros,Clay,G,3.559055118110236,7.480314960629921,33.05511811023622,,0.0,,,0.0,0.5879807692307693,0.7848683178742663
1970,Wimbledon,Grass,G,3.62992125984252,7.448818897637795,36.40944881889764,,0.0,,,0.0,0.6177884615384616,0.8017365960198504
1970,US Open,Grass,G,3.5700934579439254,6.906542056074766,34.794392523364486,,0.0,,,0.0,0.5423076923076924,0.8152225929295993
1970,Australian Open,Grass,G,3.108695652173913,4.851063829787234,33.95744680851064,,0.0,,,0.0,0.6240384615384615,0.8671090308227091
1970,Masters,Carpet,M,2.533333333333333,4.066666666666666,23.933333333333334,,0.0,,,0.0,0.7435897435897436,0.896551724137931
1971,Rome,Clay,M,2.617021276595745,4.680851063829787,24.5531914893617,,0.0,,,0.0,0.7147435897435898,0.7837650444793303
1971,Montreal / Toronto,Clay,M,2.297872340425532,5.76595744680851,21.46808510638298,,0.0,,,0.0,0.6746794871794872,0.7974787744555186
1971,Cincinnati,Clay,M,2.2698412698412698,4.841269841269841,21.88888888888889,,0.0,,,0.0,0.5232371794871795,0.7302990294560818
1971,Roland Garros,Clay,G,3.4803149606299213,7.590551181102362,31.590551181102363,,0.0,,,0.0,0.5908653846153846,0.8488025700934579
1971,Wimbledon,Grass,G,3.716535433070866,6.661417322834645,38.125984251968504,,0.0,,,0.0,0.6004807692307692,0.8158070107586128
1971,US Open,Grass,G,3.661417322834646,6.68503937007874,34.46456692913386,,0.0,,,0.0,0.5682692307692307,0.8448038073038073
1971,Australian Open,Grass,G,3.382978723404255,6.468085106382978,33.191489361702125,,0.0,,,0.0,0.4980769230769231,0.7552037116762798
1971,Masters,Carpet,M,2.4761904761904763,3.5714285714285716,25.095238095238095,,0.0,,,,,
1972,Rome,Clay,M,2.3968253968253967,5.253968253968254,22.523809523809526,,0.0,,,0.0,0.7612179487179487,0.7978297549726121
1972,Montreal / Toronto,Clay,M,2.246376811594203,5.536231884057971,20.28985507246377,,0.0,,,0.0,0.5120192307692307,0.7610104296361315
1972,Cincinnati,Clay,M,2.4126984126984126,4.396825396825397,22.523809523809526,,0.0,,,0.0,0.5568910256410257,0.7951752548526743
1972,Roland Garros,Clay,G,3.4936708860759493,7.7215189873417724,33.34177215189873,,0.0,,,0.0,0.5793269230769231,0.7746467861071822
1972,Wimbledon,Grass,G,3.6850393700787403,6.7637795275590555,37.803149606299215,,0.0,,,0.0,0.5427884615384615,0.7752070178771974
1972,US Open,Grass,G,3.6535433070866143,6.409448818897638,35.84251968503937,,0.0,,,0.0,0.6360576923076923,0.8682452896196712
1972,Australian Open,Grass,G,3.36734693877551,6.612244897959184,32.57142857142857,,0.0,,,0.0,0.5427884615384615,0.8122854054022846
1972,Masters,Carpet,M,2.6,5.533333333333333,20.866666666666667,,0.0,,,0.0,0.7115384615384616,0.7451162790697674
1973,Rome,Clay,M,2.3157894736842106,5.578947368421052,21.263157894736842,,0.0,,,0.0,0.6971153846153846,0.6471449146668977
1973,Toronto,Clay,M,2.3333333333333335,5.396825396825397,21.80952380952381,,0.0,,,0.0,0.5881410256410257,0.7369496393304464
